date,stock_price
2016-12-30,30.73
2017-01-03,31.89
2017-01-04,31.49
2017-01-05,31.43
2017-01-06,30.98
2017-01-09,30.63
2017-01-10,30.29
2017-01-11,29.68
2017-01-12,29.58
2017-01-13,29.70
2017-01-17,29.80
2017-01-18,29.98
2017-01-19,29.25
2017-01-20,29.36
2017-01-23,29.28
2017-01-24,30.14
2017-01-25,34.35
2017-01-26,35.34
2017-01-27,35.82
2017-01-30,36.14
2017-01-31,36.34
2017-02-01,36.05
2017-02-02,36.44
2017-02-03,37.26
2017-02-06,36.58
2017-02-07,37.11
2017-02-08,36.87
2017-02-09,37.33
2017-02-10,37.40
2017-02-13,38.48
2017-02-14,38.52
2017-02-15,38.76
2017-02-16,38.29
2017-02-17,37.95
2017-02-21,38.18
2017-02-22,38.12
2017-02-23,38.15
2017-02-24,38.44
2017-02-27,38.39
2017-02-28,38.79
2017-03-01,39.83
2017-03-02,39.38
2017-03-03,39.41
2017-03-06,39.05
2017-03-07,38.86
2017-03-08,38.73
2017-03-09,37.58
2017-03-10,38.06
2017-03-13,38.29
2017-03-14,37.59
2017-03-15,37.88
2017-03-16,38.02
2017-03-17,37.73
2017-03-20,37.60
2017-03-21,36.32
2017-03-22,36.73
2017-03-23,36.82
2017-03-24,36.91
2017-03-27,36.64
2017-03-28,36.95
2017-03-29,37.26
2017-03-30,38.45
2017-03-31,37.48
2017-04-03,36.96
2017-04-04,37.51
2017-04-05,37.53
2017-04-06,37.74
2017-04-07,38.23
2017-04-10,38.84
2017-04-11,40.05
2017-04-12,39.44
2017-04-13,39.30
2017-04-17,39.56
2017-04-18,39.61
2017-04-19,39.62
2017-04-20,39.61
2017-04-21,39.38
2017-04-24,40.32
2017-04-25,41.21
2017-04-26,34.28
2017-04-27,34.51
2017-04-28,34.38
2017-05-01,34.42
2017-05-02,34.63
2017-05-03,34.69
2017-05-04,34.74
2017-05-05,35.53
2017-05-08,34.98
2017-05-09,34.95
2017-05-10,35.18
2017-05-11,34.66
2017-05-12,35.12
2017-05-15,35.48
2017-05-16,35.90
2017-05-17,34.40
2017-05-18,34.47
2017-05-19,34.69
2017-05-22,34.90
2017-05-23,34.78
2017-05-24,34.86
2017-05-25,35.18
2017-05-26,34.70
2017-05-30,35.28
2017-05-31,35.55
2017-06-01,34.99
2017-06-02,35.26
2017-06-05,34.33
2017-06-06,34.18
2017-06-07,34.22
2017-06-08,34.90
2017-06-09,34.57
2017-06-12,33.89
2017-06-13,34.29
2017-06-14,33.68
2017-06-15,33.88
2017-06-16,34.29
2017-06-19,34.65
2017-06-20,34.00
2017-06-21,34.51
2017-06-22,34.80
2017-06-23,35.35
2017-06-26,35.11
2017-06-27,32.73
2017-06-28,33.28
2017-06-29,32.23
2017-06-30,32.10
2017-07-03,31.97
2017-07-05,32.32
2017-07-06,30.89
2017-07-07,31.64
2017-07-10,31.80
2017-07-11,32.07
2017-07-12,32.89
2017-07-13,31.74
2017-07-14,32.72
2017-07-17,32.36
2017-07-18,32.16
2017-07-19,32.50
2017-07-20,32.65
2017-07-21,32.79
2017-07-24,32.94
2017-07-25,27.50
2017-07-26,26.79
2017-07-27,26.97
2017-07-28,27.01
2017-07-31,27.30
2017-08-01,27.64
2017-08-02,27.68
2017-08-03,27.81
2017-08-04,27.69
2017-08-07,27.73
2017-08-08,27.33
2017-08-09,27.00
2017-08-10,26.13
2017-08-11,26.75
2017-08-14,26.96
2017-08-15,26.74
2017-08-16,26.90
2017-08-17,26.10
2017-08-18,25.99
2017-08-21,26.06
2017-08-22,26.75
2017-08-23,25.69
2017-08-24,25.70
2017-08-25,25.89
2017-08-28,26.08
2017-08-29,26.05
2017-08-30,26.09
2017-08-31,26.12
2017-09-01,26.34
2017-09-05,27.13
2017-09-06,27.16
2017-09-07,26.79
2017-09-08,26.50
2017-09-11,25.64
2017-09-12,26.42
2017-09-13,27.15
2017-09-14,27.05
2017-09-15,27.79
2017-09-18,27.77
2017-09-19,27.17
2017-09-20,27.34
2017-09-21,27.62
2017-09-22,28.34
2017-09-25,27.99
2017-09-26,27.75
2017-09-27,28.01
2017-09-28,27.84
2017-09-29,28.00
