year,label,measure,amount,start,pct
2020,a,Revenue,182527,182527,0
2020,b,Cogs,84732,182527,0
2020,a,Gross Profit,97795,97795,0.5358
2020,b,Opex,56571,97795,0
2020,a,Op Income,41224,41224,0.2259
2020,b,OIE & Tax,955,41224,0
2020,a,Net Income,40269,40269,0.2206
2019,a,Revenue,161857,161857,0
2019,b,Cogs,71896,161857,0
2019,a,Gross Profit,89961,89961,0.5558
2019,b,Opex,55730,89961,0
2019,a,Op Income,34231,34231,0.2115
2019,b,OIE & Tax,112,34343,0
2019,a,Net Income,34343,34343,0.2122
2018,a,Revenue,136819,136819,0
2018,b,Cogs,59549,136819,0
2018,a,Gross Profit,77270,77270,0.5648
2018,b,Opex,49746,77270,0
2018,a,Op Income,27524,27524,0.2012
2018,b,OIE & Tax,3212,30736,0
2018,a,Net Income,30736,30736,0.2246
2017,a,Revenue,110855,110855,0
2017,b,Cogs,45583,110855,0
2017,a,Gross Profit,65272,65272,0.5888
2017,b,Opex,39094,65272,0
2017,a,Op Income,26178,26178,0.2361
2017,b,OIE & Tax,13516,26178,0
2017,a,Net Income,12662,12662,0.1142
